"id","nome","unidade_superior_id","unidade_executante_id","unidade_adm_id","data_solicitacao","link_git","descricao","link_homolog","link_prod","inf_adicional"
31,"Monitora Goiás",10,42,36,"2020-11-01 00:00:00","","<p>Monitora Goi&aacute;s Seleciona Indiv&iacute;duos Para Testagem Da Covid-19 Conforme Seu Score De Risco Para Resultado Positivo E Interna&ccedil;&atilde;o Em Uti.</p>","","https://extranet.saude.go.gov.br/monitora-backoffice/#/dashboard",""
30,"Microcefalia",10,42,37,"2018-12-01 00:00:00","","<p>O Boletim Da Microcefalia &Eacute; Uma Publica&ccedil;&atilde;o E Instrumento De Gest&atilde;o Utilizado Para O Acompanhamento, An&aacute;lise E Monitoramento Da Doen&ccedil;a Em Todo Estado De Goi&aacute;s. A Estrat&eacute;gia Permite Mensurar A Tend&ecirc;ncia Da Doen&ccedil;a, Assim Como Avaliar Os Riscos Inerentes &Agrave; Essa Enfermidade Nos Munic&iacute;pios Goianos</p>","","https://indicadores.saude.go.gov.br/public/microcefalia.html",""
111,"OCR Fichas SINAN",11,42,42,NULL,"","","","",""
146,"Reabilita Goiás",8,42,NULL,NULL,"","","","",""
32,"Observatório Gestão De Saude",3,42,14,"2022-05-01 00:00:00","","","http://bi-homolog.saude-go.net/public/obs_gestao_saude.html","",""
21,"Hermes - Ouvidoria Suvisa",10,42,33,"2021-12-02 00:00:00","","<p>Painel Mostra A Quantidade De Denuncias Abertas E Fechadas Dentro Da Ouvidoria Da Suvisa</p>","http://bi-homolog.saude-go.net/pentaho/api/repos/%3Ahermes%3Apaineis%3Apainel.wcdf/generatedContent","https://indicadores.saude.go.gov.br/public/hermes.html",""
71,"PQA - VS",10,42,NULL,"2023-02-07 00:00:00","","","","",""
46,"Saude Do Homem",11,42,42,"2022-06-08 00:00:00","","<p>APRESENTAR OS PRINCIPAIS INDICADORES DA POL&Iacute;TICA NACIONAL DE ATEN&Ccedil;&Atilde;O INTEGRAL &Agrave; SA&Uacute;DE DO HOMEM (PNAISH) E O USO DESSES PARA O MONITORAMENTO DAS A&Ccedil;&Otilde;ES DE PROMO&Ccedil;&Atilde;O E ATEN&Ccedil;&Atilde;O &Agrave; SA&Uacute;DE DO HOMEM, BEM COMO A AN&Aacute;LISE DE SITUA&Ccedil;&Otilde;ES E TEND&Ecirc;NCIAS.</p>","http://bi-homolog.saude-go.net/public/observatorio_saude_homem.html","",""
252,"[ARQ] core-v3 (Java)",11,41,41,NULL,"","","","",""
36,"Parque De Computadores",11,42,NULL,"2022-10-18 00:00:00","","<p>Painel De Invent&aacute;rio E Relat&oacute;rios Do Parque De Computadores Das Regionais.</p>","","",""
60,"Relatório Taxa de Ocupação",11,42,43,"2023-02-02 00:00:00","https://git.saude-go.net/BISAUDEGO8/relatorio_leitos_extras","<p>Relat&oacute;rio automatizado da taxa de ocupa&ccedil;&atilde;o dos leitos, separando os leitos contratados dos leito extras, conforme solicita&ccedil;&atilde;o da Ger&ecirc;ncia de Sa&uacute;de Digital.</p>","http://bi-homolog.saude-go.net/public/relatorio_leitos_extras.html","http://bi.saude-go.net/public/relatorio_leitos_extras.html",""
253,"SAF",2,42,NULL,"2023-07-28 12:53:00","","","","",""
411,"[ARQ] core-v1(Angular)",11,41,41,NULL,"","","","",""
106,"Análises Exploratórias",11,42,42,NULL,"https://git.saude-go.net/data_science/analises-exploratorias","","","",""
38,"Poseidon - Qualidade da Água",10,42,33,"2021-12-09 00:00:00","","<p>O Painel Disponibiliza Informa&ccedil;&otilde;es Sobre O Controle De Qualidade Da &Aacute;gua</p>","http://bi-homolog.saude-go.net/public/poseidon.html","https://indicadores.saude.go.gov.br/public/poseidon.html",""
109,"Gameficação na Doação de Sangue",11,42,42,NULL,"","","","",""
151,"FMS - Repasse aos Municípios",2,42,2,"2019-02-07 00:00:00","","","http://bi-homolog.saude-go.net/public/fms_v2.html","https://indicadores.saude.go.gov.br/public/fms.html","<p>link da v1 homolog</p>
<p>http://bi-homolog.saude-go.net/public/fms.html</p>"
291,"GAL",17,42,NULL,"2024-01-18 14:02:00","","","","",""
293,"Monitoramento - Escola de Saúde",13,42,NULL,"2024-01-25 12:23:00","","","","",""
290,"[DESENV] NOVO SDME",11,41,41,"2024-01-03 15:36:00","","","","",""
292,"[DESENV] SIGA SAUDE",11,41,43,NULL,"","","","",""
432,"[DESENV] Ulysses (PROJETO BI)",11,41,42,"2025-10-01 00:00:00","","","","",""
309,"API LLM LIGO",11,42,42,NULL,"","","","",""
170,"[DESENV] SISRAD",11,41,41,NULL,"","<p>Sistema de Monitoramento dos Radioacidentados</p>","","",""
171,"[DESENV] SILT",11,41,41,NULL,"","<p>Sistema de Tratamento da Infeccao Latente da Tuberculose</p>","","",""
4,"Calculadora de estratificação de riscos",8,42,NULL,"2021-08-09 00:00:00","","<p>Estratifica&ccedil;&atilde;o De Risco Usando Vari&aacute;veis Definidas Nas Notas T&eacute;cnicas De Diabetes, Hipertens&atilde;o E Sobrepeso E Obesidade Como: Dados Demogr&aacute;ficos (Sexo, Idade, Cor Da Pele), Peso/Altura/Imc, H&aacute;bitos De Vida (Sedentarismo, Tabagismo), Exames Laboratoriais (Glicemia, Lip&iacute;dios S&eacute;ricos), Press&atilde;o Arterial, Presen&ccedil;a De Complica&ccedil;&otilde;es, Capacidade De Autocuidado, Etc.</p>","http://geinov-docker.saude-go.net:5036/","https://calculadora-risco.saude.go.gov.br/",""
255,"Capacitação Externa",11,42,42,"2023-07-31 13:47:00","","","","","<p>Para capacita&ccedil;&atilde;o externa da hyndra para servi&ccedil;o n&atilde;o fatur&aacute;vel</p>"
366,"Transformação Digital",11,42,43,"2025-02-24 14:01:00","","","","",""
164,"Monitoramento Estadual da Política Nacional de Atenção Integral à Saúde de Adolescentes em Conflito com a Lei (PNAISARI)",8,42,26,"2023-02-24 00:00:00","","","","",""
298,"[ARQ] core-v3 (PHP)",11,41,41,NULL,"","","","",""
58,"Césio 137",11,42,42,"2023-01-05 00:00:00","","","","https://www.saude.go.gov.br/sistemas-de-saude/informacoes-em-saude/agravos-em-individuos-expostos-ao-cesio-137",""
312,"DocGen - Gerador de Peças Jurídicas",1,42,78,"2023-12-05 00:00:00","https://git.saude-go.net/hydra/docs","<p>Produto solicitado pela procuradora G&eacute;ssica em conversa com o Carlos Tibiri&ccedil;&aacute;. A partir de um template de documento e respostas em um formul&aacute;rio previamente constru&iacute;do, uma pe&ccedil;a jur&iacute;dica &eacute; gerada com base em regras ""se-ent&atilde;o"".</p>","","https://docgen.saude.go.gov.br/",""
248,"[DESENV] Busca Cidadão",11,41,NULL,"2023-07-13 08:53:00","https://git.saude-go.net/data_science/busca-cidadao","","http://busca-cidadao-homolog.datascience.saude-go.net","",""
26,"Imuniza Goiás",10,42,36,"2022-03-10 12:12:00","https://git.saude-go.net/hydra/imuniza-goias-v2","<p>Demanda 01 recebida por meio de formul&aacute;rio de solicita&ccedil;&atilde;o de demanda:</p>
<p><img src=""/static/uploads/26-87c2cd25-ecf8-493f-9968-9765ff2d990c-mceclip0.png"" /></p>","http://imuniza-homolog-v2.hydra.saude-go.net/","https://imuniza-goias.saude.go.gov.br/","<p>Airflow DAG: https://git.saude-go.net/bigdata/airflow_dags/tree/master/bigdata/imuniza_goias</p>"
59,"PPI - Programação Pactuada Integrada",2,42,NULL,"2021-08-31 00:00:00","","","http://bi-homolog.saude-go.net/public/ppi.html","https://indicadores.saude.go.gov.br/public/ppi.html",""
254,"SIMAZ - Quadras visitadas",10,42,37,"2023-07-31 13:37:00","","","","https://extranet.saude.go.gov.br/sacd/EstatisticaQuadrasVisitadas.jsf",""
336,"[DESENV] NOVO SINAVISA",11,41,41,"2024-08-19 18:08:00","","","","",""
259,"[DESENV] Flink",11,41,42,"2021-08-01 19:28:00","","<p><span style=""white-space: pre-line;"">A Partir De Um Sistema De Recomenda&ccedil;&atilde;o, O Dashboard Inteligente Consegue Entender O Perfil De Cada Usu&aacute;rio E Adaptar Os Kpis Exibidos Conforme Os T&oacute;picos E &Aacute;reas De Interesse.Ompanhamento De Indicadores De Sa&uacute;de.</span></p>","Index: http://geinov-docker.saude-go.net:5079/index                                                                                                                                                         ","https://flink.saude.go.gov.br                                                                                                                                                                                        ",""
300,"Não faturável",11,42,42,"2024-03-12 13:27:00","","","","",""
172,"[DESENV] SAF",11,41,41,NULL,"","<p>Sistema de Administra&ccedil;&atilde;o Financeira, Planejamento, Contratos e Conv&ecirc;nios</p>","","",""
173,"[DESENV] SIGUS",11,41,41,NULL,"","<p>Sistema de Gest&atilde;o das Unidades de Sa&uacute;de</p>","","",""
308,"Recomendador de CIDs",11,42,42,NULL,"","","","http://recomendador-cid.clusterb.saude-go.net/",""
40,"Regionais Gabinete - RH",2,42,NULL,"2021-04-28 00:00:00","","<p>Projeto regionais gabinete tem por objetivo servir como ferramenta para integra&ccedil;&atilde;o, consolida&ccedil;&atilde;o e apresenta&ccedil;&atilde;o dos dados referentes &agrave; &ldquo;patrim&ocirc;nio&rdquo; e &ldquo;recursos humanos&rdquo; das regionais de sa&uacute;de do Estado de Goi&aacute;s.</p>","","https://indicadores.saude.go.gov.br/public/regionais.html",""
243,"SALUS Journal",11,42,42,NULL,"","","http://journal_homolog.datascience.saude-go.net","",""
301,"Dados Abertos",11,42,42,"2024-01-30 15:09:00","","","","",""
22,"Horus - Monitoramento da Distribuição de Medicamentos",8,42,24,"2018-12-01 00:00:00","","<p>Monitora a distribui&ccedil;&atilde;o de medicamentos</p>","http://bi-homolog.saude-go.net/public/horus.html","https://indicadores.saude.go.gov.br/public/horus.html",""
407,"Data WareHouse",11,42,42,"2010-01-01 11:27:00","","<p>Data warehouse como produto, utilizado o MariaDB como ferramenta</p>","","",""
322,"[ARQ] Testes automatizados (funcionais)",11,41,41,NULL,"","","","",""
367,"Reunião - FHIR (Interoperabilidade)",11,42,42,NULL,"","","","",""
145,"Mapa Vulnerabilidade Leishmaniose",10,42,34,"2019-08-26 00:00:00","https://git.saude-go.net/data_science/mapa-vulnerabilidade-leishmaniose","","","",""
19,"Guia De Qualificação De Indicadores",3,42,14,"2022-02-02 00:00:00","","<p>Sistema Que Gerencia As Fichas De Qualifica&ccedil;&atilde;o Dos Indicadores</p>","","https://guia-indicadores.saude.go.gov.br/",""
349,"[DESENV] PLATAFORMA NACIONAL",11,41,41,"2024-10-25 21:45:00","","","","",""
302,"[DESENV] INTEGRAÇÃO SINAVISA E REDE SIM",11,41,41,"2024-03-01 18:17:00","","","","",""
216,"Portal Inovação Saúde ",11,42,42,"2023-06-13 00:00:00","","","http://centralizador-homolog.datascience.saude-go.net/","inovacao.saude.go.gov.br","<p>https://inovacao.saude.go.gov.br/</p>"
408,"Susi Admin",11,42,42,"2025-05-01 16:20:00","","","","https://susi-adm.saude.go.gov.br/",""
351,"api-insights",11,42,42,"2024-11-19 16:31:00","https://git.saude-go.net/hydra/api-insights  ","","","",""
363,"[DESENV] TOTENS CEMAC SDME",11,41,41,"2025-01-16 18:10:00","","","","",""
174,"[DESENV] SDMEWEB",11,41,41,NULL,"","<p>Abertura e Renova&ccedil;&atilde;o de Processo WEB</p>","","",""
281,"SDME - Sistema de Dispensação de Medicamentos Especializados",11,42,41,NULL,"","<p data-pm-slice=""1 1 []"">Direcionada &agrave; gest&atilde;o e acompanhamento de medicamentos especializados dispensados para pacientes no Estado de Goi&aacute;s.</p>","","https://app.powerbi.com/view?r=eyJrIjoiN2U5ZjA5OTYtOWU3YS00ZGMxLTk0OTktNjAyZDU2NDZkMmE4IiwidCI6Ijg5Njk1YTU5LTc0OTgtNDc0Ny1iNzhjLTFjOWExZWJkYmM4MiJ9",""
427,"Federalização RNDS",11,42,42,"2025-08-25 17:04:00","","","","https://360.saude.go.gov.br/painel/institucional/451/",""
175,"[DESENV] SIADI",11,41,41,NULL,"","<p>Sistema Integrado de Avalia&ccedil;&atilde;o de Desempenho Individual</p>","","",""
176,"[DESENV] SDME",11,41,41,NULL,"","<p>Dispensa&ccedil;&atilde;o de Medicamentos do Componente Especializado da Assist&ecirc;ncia Farmac&ecirc;utica</p>","","",""
177,"[DESENV] SINAVISA",11,41,41,NULL,"","<p>Sistema de Informa&ccedil;&atilde;o em Vigil&acirc;ncia Sanit&aacute;ria</p>","","",""
